Number of Floors,Number of Lifts,Max Weight,Max Speed,Floor Distance,Time at Floors
100,9,600.0,2.5,5.0,1.0

Floor,People entering,People exiting,
0,29,60
1,4,36
2,11,51
3,11,45
4,18,40
5,12,22
6,9,53
7,9,31
8,0,40
9,19,49
10,11,49
11,19,56
12,10,43
13,20,51
14,15,32
15,4,34
16,17,45
17,10,26
18,5,35
19,9,22
20,23,32
21,13,32
22,8,24
23,15,37
24,14,13
25,8,31
26,2,15
27,15,39
28,22,36
29,25,40
30,14,55
31,29,40
32,8,27
33,5,32
34,10,30
35,9,21
36,20,57
37,15,38
38,23,56
39,15,27
40,21,19
41,15,27
42,20,33
43,8,25
44,27,50
45,19,31
46,7,28
47,15,27
48,21,27
49,4,22
50,24,29
51,5,12
52,8,39
53,4,36
54,22,34
55,14,13
56,10,20
57,17,12
58,18,33
59,7,31
60,12,30
61,14,26
62,13,24
63,15,30
64,14,37
65,13,29
66,5,40
67,11,18
68,27,40
69,2,25
70,20,48
71,7,16
72,7,13
73,23,19
74,15,37
75,10,43
76,4,25
77,17,38
78,12,19
79,18,42
80,15,31
81,14,36
82,12,41
83,8,35
84,5,39
85,16,28
86,5,35
87,7,29
88,7,69
89,15,32
90,15,27
91,11,36
92,7,48
93,8,35
94,21,38
95,6,50
96,24,81
97,12,78
98,35,97
99,18,48
100,4,35

Lift,Up,Down,End,Average Occupation,Average Waiting Time
1,34,28,157,0.17956853,29.88889
2,29,28,171,0.23071806,30.614035
3,28,33,157,0.23235299,32.47541
4,29,22,135,0.2132813,34.82353
5,27,33,142,0.2372994,30.683332
6,35,39,165,0.21531413,35.594593
7,24,21,123,0.19741379,32.77778
8,17,17,102,0.17975205,26.882353
9,29,25,129,0.1686391,25.018518

